"","num_critic_for_reviews","duration","director_facebook_likes","actor_3_facebook_likes","actor_1_facebook_likes","gross","num_voted_users","cast_total_facebook_likes","facenumber_in_poster","num_user_for_reviews","budget","title_year","actor_2_facebook_likes","imdb_score","aspect_ratio","movie_facebook_likes"
"1",723,178,0,855,1000,760505847,886204,4834,0,3054,237000000,2009,936,7.9,1.78,33000
"2",302,169,563,1000,40000,309404152,471220,48350,0,1238,300000000,2007,5000,7.1,2.35,0
"3",602,148,0,161,11000,200074175,275868,11700,1,994,245000000,2015,393,6.8,2.35,85000
"4",813,164,22000,23000,27000,448130642,1144337,106759,0,2701,250000000,2012,23000,8.5,2.35,164000
"5",NA,NA,131,NA,131,NA,8,143,0,NA,NA,NA,12,7.1,NA,0
"6",462,132,475,530,640,73058679,212204,1873,1,738,263700000,2012,632,6.6,2.35,24000
"7",392,156,0,4000,24000,336530303,383056,46055,0,1902,258000000,2007,11000,6.2,2.35,0
"8",324,100,15,284,799,200807262,294810,2036,1,387,260000000,2010,553,7.8,1.85,29000
"9",635,141,0,19000,26000,458991599,462669,92000,4,1117,250000000,2015,21000,7.5,2.35,118000
"10",375,153,282,10000,25000,301956980,321795,58753,3,973,250000000,2009,11000,7.5,2.35,10000
"11",673,183,0,2000,15000,330249062,371639,24450,0,3018,250000000,2016,4000,6.9,2.35,197000
"12",434,169,0,903,18000,200069408,240396,29991,0,2367,209000000,2006,10000,6.1,2.35,0
"13",403,106,395,393,451,168368427,330784,2023,1,1243,200000000,2008,412,6.7,2.35,0
"14",313,151,563,1000,40000,423032628,522040,48486,2,1832,225000000,2006,5000,7.3,2.35,5000
"15",450,150,563,1000,40000,89289910,181792,45757,1,711,215000000,2013,2000,6.5,2.35,48000
"16",733,143,0,748,15000,291021565,548573,20495,0,2536,225000000,2013,3000,7.2,2.35,118000
"17",258,150,80,201,22000,141614023,149922,22697,4,438,225000000,2008,216,6.6,2.35,0
"18",703,173,0,19000,26000,623279547,995415,87697,3,1722,220000000,2012,21000,8.1,1.85,123000
"19",448,136,252,1000,40000,241063875,370704,54083,4,484,250000000,2011,11000,6.7,2.35,58000
"20",451,106,188,718,10000,179020854,268154,12572,1,341,225000000,2012,816,6.8,1.85,40000
"21",422,164,0,773,5000,255108370,354228,9152,0,802,250000000,2014,972,7.5,2.35,65000
"22",599,153,464,963,15000,262030663,451803,28489,0,1225,230000000,2012,10000,7,2.35,56000
"23",343,156,0,738,891,105219735,211765,3244,0,546,200000000,2010,882,6.7,2.35,17000
"24",509,186,0,773,5000,258355354,483540,9152,6,951,225000000,2013,972,7.9,2.35,83000
"25",251,113,129,1000,16000,70083519,149019,24106,2,666,180000000,2007,6000,6.1,2.35,0
"26",446,201,0,84,6000,218051260,316018,7123,0,2618,207000000,2005,919,7.2,2.35,0
"27",315,194,0,794,29000,658672302,793059,45223,0,2528,200000000,1997,14000,7.7,2.35,26000
"28",516,147,94,11000,21000,407197282,272670,64798,0,1022,250000000,2016,19000,8.2,2.35,72000
"29",377,131,532,627,14000,65173160,202382,26679,0,751,209000000,2012,10000,5.9,2.35,44000
"30",644,124,365,1000,3000,652177271,418214,8458,0,1290,150000000,2015,2000,7,2,150000
"31",750,143,0,393,883,304360277,522030,2039,0,1498,200000000,2012,563,7.8,2.35,80000
"32",300,135,0,4000,24000,373377893,411164,43388,1,1303,200000000,2004,11000,7.3,2.35,0
"33",608,195,1000,3000,21000,408992272,557489,30426,3,1187,200000000,2013,4000,7.2,2.35,95000
"34",451,108,13000,11000,40000,334185206,306320,79957,0,736,200000000,2010,25000,6.5,1.85,24000
"35",334,104,420,560,20000,234360014,383427,21714,0,1912,210000000,2006,808,6.8,2.35,0
"36",376,104,37,760,12000,268488329,235025,14863,0,265,200000000,2013,779,7.3,1.85,44000
"37",366,150,0,464,894,402076689,323207,3218,0,1439,200000000,2009,581,6,2.35,0
"38",378,165,0,808,974,245428137,242420,3988,2,918,210000000,2014,956,5.7,2.35,56000
"39",525,130,0,11000,44000,234903076,175409,73441,4,511,215000000,2013,15000,6.4,2.35,60000
"40",495,142,464,825,15000,202853933,321227,28631,0,1067,200000000,2014,10000,6.7,2.35,41000
"41",469,125,364,1000,12000,172051787,264183,25550,0,665,170000000,2010,10000,6.8,2.35,30000
"42",304,106,487,776,1000,191450875,101178,4482,0,283,200000000,2011,919,6.3,2.35,10000
"43",436,123,258,326,16000,116593191,223393,17657,2,550,200000000,2011,368,5.6,2.35,24000
"44",453,103,125,721,15000,414984497,544884,19085,3,733,200000000,2010,1000,8.3,1.85,30000
"45",422,118,368,988,23000,125320003,286095,27468,0,974,200000000,2009,3000,6.6,2.35,0
"46",424,140,0,14000,26000,350034110,278232,79150,0,657,190000000,2015,23000,7.2,2.35,94000
"47",654,123,395,1000,17000,202351611,465019,32392,0,995,190000000,2013,11000,7,2.35,129000
"48",539,149,0,20000,34000,233914986,514125,91434,7,752,200000000,2014,22000,8,2.35,82000
"49",590,132,14000,928,19000,228756232,395573,21411,0,1171,190000000,2013,981,7.8,2.35,92000
"50",338,114,0,140,979,65171860,106416,1766,1,205,195000000,2013,557,6.3,2.35,22000
"51",490,143,1000,77,29000,144812796,362912,29770,4,753,105000000,2013,509,7.3,2.35,115000
"52",306,116,179,236,15000,90755643,222403,16149,2,453,200000000,2010,567,6.6,2.35,23000
"53",575,131,0,919,16000,101785482,381148,19166,0,1106,190000000,2013,968,7,1.85,83000
"54",428,154,0,581,894,352358779,326180,2593,2,899,195000000,2011,829,6.3,2.35,46000
"55",470,122,14000,1000,11000,317011114,333847,14959,2,2054,185000000,2008,1000,6.2,2.35,5000
"56",298,93,113,113,275,123070338,62836,696,0,345,NA,2015,150,6.8,2.35,20000
"57",488,93,56,838,2000,237282182,273556,5005,0,428,185000000,2012,1000,7.2,2.35,39000
"58",322,122,681,105,998,130468626,53607,1327,4,432,185000000,2016,119,7.5,2.35,30000
"59",421,98,475,522,1000,223806889,718837,2975,0,1043,180000000,2008,729,8.4,2.35,16000
"60",162,91,420,173,268,140080850,121084,1125,2,221,140000000,2007,268,6.2,2.35,0
"61",367,158,776,310,1000,166112167,283418,2144,0,1055,200000000,2009,468,5.8,2.35,13000
"62",240,96,0,10000,18000,137850096,72809,48878,0,249,200000000,2009,14000,6.8,2.35,0
"63",384,127,0,13000,17000,47375327,139593,47334,1,720,176000000,2015,15000,5.4,2.35,44000
"64",248,110,282,103,11000,124051759,42372,21175,2,239,180000000,2016,10000,6.6,2.35,29000
"65",284,150,80,82,1000,291709845,286506,1317,5,1463,180000000,2005,190,6.9,2.35,0
"66",396,144,0,1000,34000,154985087,148379,49684,6,622,178000000,2016,13000,7.3,2.35,54000
"67",645,152,22000,11000,23000,533316061,1676169,57802,0,4667,185000000,2008,13000,9,2.35,37000
"68",408,96,0,262,1000,292979556,665575,2635,1,704,175000000,2009,848,8.3,1.85,27000
"69",219,94,11,459,1000,198332128,114553,2579,2,187,175000000,2009,973,6.5,2.35,0
"70",486,126,4000,4000,21000,318298180,696338,39252,3,1055,140000000,2008,12000,7.9,2.35,10000
"71",682,126,17000,1000,17000,73820094,245333,36017,0,678,170000000,2011,16000,7.5,1.85,42000
"72",85,106,188,582,10000,113745408,129601,15870,2,648,170000000,1999,4000,4.8,1.85,0
"73",264,112,357,595,5000,102176165,117927,9131,2,501,145000000,2008,3000,5.2,2.35,0
"74",418,123,452,329,10000,161087183,118992,11287,8,971,175000000,2016,336,6.9,2.35,80000
"75",186,96,293,7000,87000,100289690,115099,108016,0,257,175000000,2007,11000,5.4,2.35,2000
"76",585,113,218,509,10000,100189501,431620,12652,1,741,178000000,2014,854,7.9,2.35,77000
"77",91,176,58,60,711,88246220,144337,1004,0,309,175000000,1995,60,6.1,1.85,0
"78",250,118,208,570,23000,150167630,174578,26683,4,534,175000000,2009,2000,5.8,2.35,0
"79",536,95,0,384,1000,356454367,345198,2944,1,773,175000000,2015,767,8.3,1.85,118000
"80",370,106,4000,591,19000,362645141,106072,32921,0,398,175000000,2016,13000,7.8,1.85,65000
"81",453,124,4000,4000,21000,312057433,522371,48638,4,723,200000000,2010,19000,7,2.35,18000
"82",416,132,274,11000,26000,155111815,228554,72881,0,710,170000000,2012,17000,6.1,2.35,53000
"83",401,97,171,846,11000,241407328,252257,15516,2,634,180000000,2014,2000,7,2.35,89000
"84",521,130,198,884,10000,208543795,317542,14363,0,620,170000000,2014,2000,7.6,1.85,45000
"85",10,109,596,283,622,NA,2138,1982,3,15,NA,2015,525,4.5,NA,677
"86",218,128,47,982,18000,38297305,116994,20965,2,324,175000000,2013,1000,6.3,2.35,35000
"87",576,136,94,2000,19000,259746958,496749,36188,1,742,170000000,2014,11000,7.8,2.35,55000
"88",226,93,31,213,4000,238371987,138661,4628,2,173,165000000,2010,225,6.4,2.35,0
"89",443,130,663,604,2000,93417865,128306,5046,2,497,190000000,2015,638,6.5,2.2,37000
"90",384,102,38,562,756,222487711,279093,2963,0,433,165000000,2014,719,7.9,2.39,41000
"91",377,101,66,833,975,189412677,272534,4451,1,345,165000000,2012,931,7.8,2.35,40000
"92",188,100,0,267,15000,665426,120798,16264,0,444,165000000,2004,726,6.6,2.35,10000
"93",286,120,776,535,890,102315545,58137,3233,0,520,165000000,2016,812,5.5,2.35,67000
"94",288,98,255,759,18000,217387997,485430,20453,0,492,165000000,2010,953,8.2,2.35,33000
"95",280,109,84,191,648,150350192,305340,1769,0,1676,200000000,2003,284,6.4,2.35,0
"96",653,121,571,3000,14000,333130696,682155,32438,3,1097,170000000,2014,14000,8.1,2.35,96000
"97",712,169,22000,6000,11000,187991439,928227,31488,1,2725,165000000,2014,11000,8.6,2.35,349000
"98",642,148,22000,23000,29000,292568851,1468200,81115,0,2803,160000000,2010,27000,8.8,2.35,175000
"99",1,120,28,12,544,NA,374,699,0,13,NA,2016,106,8.2,2.35,0
"100",645,182,0,773,5000,303001229,637246,9152,NA,1367,180000000,2012,972,7.9,2.35,166000
"101",187,106,357,4000,23000,144512310,272223,45327,2,988,38000000,2001,14000,6.7,2.35,14000
"102",362,166,21000,919,11000,127490802,459346,13333,2,822,150000000,2008,1000,7.8,2.35,23000
"103",500,132,905,1000,34000,146405371,518537,50983,3,698,160000000,2011,13000,7.8,2.35,54000
"104",389,137,508,14000,34000,281666058,166137,81385,1,383,160000000,2015,22000,6.6,2.35,38000
"105",235,109,226,370,12000,63143812,124185,13388,0,238,150000000,2010,418,6.1,2.35,11000
"106",231,98,249,702,87000,60655503,82380,92456,0,629,160000000,2006,2000,5.6,2.35,0
"107",218,113,33,11000,40000,76846624,21352,80806,1,131,170000000,2016,25000,6.4,1.85,30000
"108",227,93,50,692,3000,320706665,211971,4705,2,326,160000000,2007,795,6.1,1.85,0
"109",275,123,0,648,3000,46978995,111609,5505,0,781,160000000,2016,716,7.3,2.35,89000
"110",474,126,230,2000,24000,89732035,188457,38873,2,867,155000000,2015,10000,6.6,2.35,82000
"111",228,113,150,59,531,104383624,106446,764,4,227,155000000,2010,82,6.3,1.78,11000
"112",191,184,0,691,3000,198539855,254111,5401,0,1999,140000000,2001,961,6.1,2.35,0
"113",396,144,0,581,662,318759914,513158,2333,0,1782,150000000,2007,599,7.1,2.35,8000
"114",248,206,0,591,12000,34293771,138863,24598,3,1390,155000000,2004,11000,5.5,2.35,0
"115",329,138,282,687,21000,292000866,355137,33433,3,1108,150000000,2007,11000,7.5,2.35,0
"116",295,157,179,10000,21000,289994397,385670,53413,1,1896,150000000,2005,11000,7.6,2.35,0
"117",318,102,532,979,10000,227946274,343648,21584,0,590,150000000,2008,9000,6.4,2.35,0
"118",323,104,508,558,10000,256386216,530870,13076,0,1413,150000000,2007,1000,7.2,2.35,11000
"119",276,115,13000,588,40000,206456431,320284,57844,3,1361,150000000,2005,16000,6.7,1.85,0
"120",318,111,663,954,1000,206435493,473887,4764,0,626,150000000,2007,1000,8,2.35,10000
"121",478,128,22000,11000,23000,205343774,980946,59558,0,2685,150000000,2005,14000,8.3,2.35,15000
"122",167,89,35,436,1000,179982968,146019,3285,0,119,150000000,2008,851,6.7,1.85,0
"123",185,105,189,1000,49000,177243721,130272,54039,2,209,150000000,2009,3000,5.9,2.35,2000
"124",350,119,151,2000,20000,179883016,361924,40054,0,641,150000000,2009,16000,6.7,2.35,0
"125",245,129,0,233,309,139259759,364948,1062,0,2121,150000000,2003,269,6.7,2.35,0
"126",406,102,69,490,1000,400736600,421658,2582,0,904,150000000,2013,523,7.6,2.24,58000
"127",275,138,0,30,234,281492479,421818,534,0,2789,150000000,2003,198,7.2,2.35,0
"128",486,112,230,12000,26000,206360018,414070,59803,3,532,170000000,2013,20000,7.1,2.35,63000
"129",739,120,750,943,27000,153629485,552503,40025,0,1588,150000000,2015,9000,8.1,2.35,191000
"130",298,146,2000,294,15000,133375846,207839,16948,2,435,150000000,2009,745,6.7,2.35,0
"131",516,115,0,12000,26000,181015141,536314,60059,1,738,150000000,2011,20000,7,2.35,63000
"132",225,96,59,699,17000,114053579,146766,20007,0,178,150000000,2008,759,6.9,1.85,0
"133",145,88,12,182,730,119420252,33042,2217,0,90,150000000,2009,607,5.1,2.35,0
"134",310,99,473,502,14000,83640426,152826,16184,0,253,150000000,2012,897,5.8,1.85,19000
"135",526,113,13000,16000,40000,79711678,199039,80849,7,479,100000000,2012,17000,6.2,1.85,82000
"136",465,131,188,641,10000,195000874,232187,21840,0,440,150000000,2015,10000,7.4,2.35,47000
"137",357,119,394,162,12000,61937495,89442,13071,0,432,150000000,2010,490,5.8,1.85,0
"138",248,110,282,103,11000,124051759,42372,21175,2,239,180000000,2016,10000,6.6,2.35,29000
"139",194,91,58,826,2000,126597121,105902,6576,0,206,150000000,2007,852,6.2,1.85,0
